id,timestamp,duration,data,app
156,2025-02-10 14:15:19.629000+00:00,0.059,"{'app': 'explorer.exe', 'title': ''}",explorer.exe
157,2025-02-10 14:15:19.629000+00:00,0.059,"{'app': 'explorer.exe', 'title': ''}",explorer.exe
158,2025-02-10 14:15:19.629000+00:00,0.0,"{'app': 'explorer.exe', 'title': ''}",explorer.exe
159,2025-02-10 14:15:19.629000+00:00,0.0,"{'app': 'explorer.exe', 'title': ''}",explorer.exe
160,2025-02-10 14:15:19.629000+00:00,0.0,"{'app': 'explorer.exe', 'title': ''}",explorer.exe
161,2025-02-10 14:15:19.629000+00:00,0.0,"{'app': 'explorer.exe', 'title': ''}",explorer.exe
162,2025-02-10 14:15:19.629000+00:00,0.0,"{'app': 'explorer.exe', 'title': ''}",explorer.exe
155,2025-02-10 14:14:22.555000+00:00,56.855,"{'app': 'chrome.exe', 'title': 'Merry Marbling Chapter 98 - Manganato - Google Chrome'}",chrome.exe
153,2025-02-10 14:14:18.417000+00:00,4.009,"{'app': 'chrome.exe', 'title': 'Merry Marbling Chapter 99 - Manganato - Google Chrome'}",chrome.exe
154,2025-02-10 14:14:18.417000+00:00,3.107,"{'app': 'chrome.exe', 'title': 'Merry Marbling Chapter 99 - Manganato - Google Chrome'}",chrome.exe
151,2025-02-10 14:14:12.633000+00:00,5.696,"{'app': 'chrome.exe', 'title': 'Merry Marbling Chapter 52 - Manganato - Google Chrome'}",chrome.exe
152,2025-02-10 14:14:12.633000+00:00,5.14,"{'app': 'chrome.exe', 'title': 'Merry Marbling Chapter 52 - Manganato - Google Chrome'}",chrome.exe
150,2025-02-10 14:12:33.270000+00:00,98.987,"{'app': 'chrome.exe', 'title': 'Merry Marbling Chapter 51 - Manganato - Google Chrome'}",chrome.exe
148,2025-02-10 14:12:32.128000+00:00,1.097,"{'app': 'chrome.exe', 'title': 'Frauddetection.ipynb - Colab - Google Chrome'}",chrome.exe
149,2025-02-10 14:12:32.128000+00:00,1.027,"{'app': 'chrome.exe', 'title': 'Frauddetection.ipynb - Colab - Google Chrome'}",chrome.exe
143,2025-02-10 14:12:31.562000+00:00,0.0,"{'app': 'explorer.exe', 'title': ''}",explorer.exe
144,2025-02-10 14:12:31.562000+00:00,0.0,"{'app': 'explorer.exe', 'title': ''}",explorer.exe
